player_id,player_name,player_role
CSK100,MS DHONI,WK Keeper - Batter
CSK101,SAM BILLINGS,Batter
CSK102,MURALI VIJAY,Batter
CSK103,NARAYAN JAGADEESAN,Batter
CSK104,SURESH RAINA,Batter
CSK105,DHRUV SHOREY,Batter
CSK106,FAF DU PLESSIS,Batter
CSK107,AMBATI RAYUDU,Batter
CSK108,DAVID WILLEY,All-Rounder
CSK109,RAVINDRA JADEJA,All-Rounder
CSK110,DWAYNE BRAVO,All-Rounder
CSK111,CHAITANYA BISHNOI,All-Rounder
CSK112,KARN SHARMA,All-Rounder
CSK113,SHANE WATSON,All-Rounder
CSK114,HARBHAJAN SINGH,All-Rounder
CSK115,KEDAR JADHAV,All-Rounder
CSK116,MITCHELL SANTNER,All-Rounder
CSK117,IMRAN TAHIR,Bowler
CSK118,DEEPAK CHAHAR,Bowler
CSK119,KM ASIF,Bowler
CSK120,SHARDUL THAKUR,Bowler
CSK121,MONU KUMAR,Bowler
CSK122,LUNGI NGIDI,Bowler
CSK123,MARK WOOD,Bowler
