player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Virat Kohli,14,14,3,530,92*,48.18,381,139.10,0,4,52,18
AB de Villiers,12,11,2,480,90*,53.33,275,174.54,0,6,39,30
Mandeep Singh,14,13,3,252,47*,25.20,186,135.48,0,0,16,11
Quinton de Kock,8,8,0,201,53,25.12,162,124.07,0,1,20,8
Parthiv Patel,6,6,1,153,53,30.60,109,140.36,0,1,20,4
Colin de Grandhomme,9,8,3,131,40,26.20,84,155.95,0,0,4,10
Brendon McCullum,6,6,0,127,43,21.16,88,144.31,0,0,16,6
Moeen Ali,5,4,0,77,65,19.25,46,167.39,0,1,4,6
Washington Sundar,7,6,3,65,35,21.66,38,171.05,0,0,5,4
Manan Vohra,4,4,0,55,45,13.75,47,117.02,0,0,2,4
Tim Southee,8,4,2,52,36*,26.00,46,113.04,0,0,5,1
Sarfaraz Khan,7,6,1,51,22*,10.20,41,124.39,0,0,7,1
Mohammed Siraj,11,4,2,25,14,12.50,22,113.63,0,0,2,1
Corey Anderson,3,3,0,17,15,5.66,22,77.27,0,0,0,1
Chris Woakes,5,4,2,17,11,8.50,19,89.47,0,0,1,1
Pawan Negi,2,2,0,3,3,1.50,5,60.00,0,0,0,0
Umesh Yadav,14,5,1,3,1*,0.75,11,27.27,0,0,0,0
Murugan Ashwin,2,1,0,1,1,1.00,2,50.00,0,0,0,0
Yuzvendra Chahal,14,1,1,0,0*,0.00,4,0.00,0,0,0,0
