player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Jos Buttler,13,13,3,548,95*,54.80,353,155.24,0,5,52,21
Sanju Samson,15,15,1,441,92*,31.50,320,137.81,0,3,30,19
Ajinkya Rahane,15,14,1,370,65*,28.46,313,118.21,0,1,39,5
Rahul Tripathi,12,12,3,226,80*,25.11,167,135.32,0,1,18,8
Ben Stokes,13,13,1,196,45,16.33,161,121.73,0,0,13,6
Krishnappa Gowtham,15,13,4,126,33*,14.00,64,196.87,0,0,9,9
D'Arcy Short,7,7,0,115,44,16.42,99,116.16,0,0,11,5
Heinrich Klaasen,4,4,1,57,32,19.00,47,121.27,0,0,5,1
Shreyas Gopal,11,4,1,50,24,16.66,45,111.11,0,0,5,0
Jaydev Unadkat,15,7,3,49,26,12.25,38,128.94,0,0,6,1
Stuart Binny,7,5,0,44,22,8.80,39,112.82,0,0,2,2
Mahipal Lomror,2,2,1,20,11,20.00,21,95.23,0,0,1,0
Jofra Archer,10,8,3,15,8,3.00,21,71.42,0,0,2,0
Prashant Chopra,1,1,0,8,8,8.00,6,133.33,0,0,2,0
Dhawal Kulkarni,8,2,1,6,3*,6.00,7,85.71,0,0,0,0
Anureet Singh,3,1,1,3,3*,0.00,4,75.00,0,0,0,0
Ish Sodhi,6,1,0,1,1,1.00,6,16.66,0,0,0,0
Ben Laughlin,7,2,1,1,1*,1.00,4,25.00,0,0,0,0
