player_id,player_name,player_role
RR100,AJINKYA RAHANE,Batter
RR101,SANJU SAMSON,Batter
RR102,JOS BUTTLER,WK Keeper - Batter
RR103,PRASHANT CHOPRA,Batter
RR104,ARYAMAN BIRLA,Batter
RR105,HEINRICH KLAASEN,Batter
RR106,RAHUL TRIPATHI,Batter
RR107,ANKIT SHARMA,All-Rounder
RR108,BEN STOKES,All-Rounder
RR109,JOFRA ARCHER,All-Rounder
RR110,STUART BINNY,All-Rounder
RR111,SHREYAS GOPAL,All-Rounder
RR112,KRISHNAPPA GOWTHAM,All-Rounder
RR113,MAHIPAL LOMROR,All-Rounder
RR114,DHAWAL KULKARNI,Bowler
RR115,DUSHMANTHA CHAMEERA,Bowler
RR116,SUDHESAN MIDHUN,Bowler
RR117,JAYDEV UNADKAT,Bowler
RR118,ISH SODHI,Bowler
RR119,BEN LAUGHLIN,Bowler
RR120,ANUREET SINGH,Bowler
