player_id,player_name,player_role
SRH100,KANE WILLIAMSON,Batter
SRH101,WRIDDHIMAN SAHA,WK Keeper - Batter
SRH102,RICKY BHUI,Batter
SRH103,SACHIN BABY,Batter
SRH104,SHREEVATS GOSWAMI,Batter
SRH105,SHIKHAR DHAWAN,Batter
SRH106,MANISH PANDEY,Batter
SRH107,ALEX HALES,Batter
SRH108,BIPUL SHARMA,All-Rounder
SRH109,SHAKIB AL HASAN,All-Rounder
SRH110,DEEPAK HOODA,All-Rounder
SRH111,YUSUF PATHAN,All-Rounder
SRH112,CARLOS BRATHWAITE,All-Rounder
SRH113,MOHAMMAD NABI,All-Rounder
SRH114,RASHID KHAN,Bowler
SRH115,CHRIS JORDAN,Bowler
SRH116,KHALEEL AHMED,Bowler
SRH117,SANDEEP SHARMA,Bowler
SRH118,BASIL THAMPI,Bowler
SRH119,BILLY STANLAKE,Bowler
SRH120,BHUVNESHWAR KUMAR,Bowler
SRH121,T NATARAJAN,Bowler
SRH122,SIDDHARTH KAUL,Bowler
