player_id,player_name,player_role
DC100,SHREYAS IYER,Batter
DC101,COLIN MUNRO,Batter
DC102,MANJOT KALRA,Batter
DC103,SHERFANE RUTHERFORD,Batter
DC104,ANKUSH BAINS,Batter
DC105,RISHABH PANT,WK Keeper - Batter
DC106,HANUMA VIHARI,Batter
DC107,COLIN INGRAM,Batter
DC108,SHIKHAR DHAWAN,Batter
DC109,PRITHVI SHAW,Batter
DC110,CHRIS MORRIS,All-Rounder
DC111,AXAR PATEL,All-Rounder
DC112,KEEMO PAUL,All-Rounder
DC113,JALAJ SAXENA,All-Rounder
DC114,KAGISO RABADA,Bowler
DC115,BANDARU AYYAPPA,Bowler
DC116,SANDEEP LAMICHHANE,Bowler
DC117,TRENT BOULT,Bowler
DC118,RAHUL TEWATIA,Bowler
DC119,AVESH KHAN,Bowler
DC120,HARSHAL PATEL,Bowler
DC121,AMIT MISHRA,Bowler
DC122,ISHANT SHARMA,Bowler
DC123,NATHU SINGH,Bowler
DC124,JAGADEESHA SUCHITH,Bowler
