player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Andre Russell,14,12,30,287,11,5/15,26.09,9.51,16.45,0,0
Piyush Chawla,13,13,44,399,10,4/17,39.90,8.96,26.70,0,0
Sunil Narine,12,12,44,347,10,5/19,34.70,7.82,26.60,0,0
Harry Gurney,8,8,27,238,7,2/25,34.00,8.81,23.14,0,0
Prasidh Krishna,11,11,40,377,4,4/30,94.25,9.34,60.50,0,0
Kuldeep Yadav,9,9,33,286,4,4/20,71.50,8.66,49.50,0,0
Nitish Rana,14,6,8,72,3,2/11,24.00,9.00,16.00,0,0
Sandeep Warrier,3,3,12,85,2,2/31,42.50,7.08,36.00,0,0
Lockie Ferguson,5,5,17,183,2,3/15,91.50,10.76,51.00,0,0
Prithvi Raj Yarra,2,2,5,57,1,1/29,57.00,11.40,30.00,0,0
