player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Yuzvendra Chahal,14,14,49,386,18,4/25,21.44,7.82,16.44,1,0
Navdeep Saini,13,13,48,397,11,2/24,36.09,8.27,26.18,0,0
Umesh Yadav,11,11,38,371,8,4/24,46.37,9.80,28.37,0,0
Mohammed Siraj,9,9,28,269,7,4/32,38.42,9.55,24.14,0,0
Moeen Ali,11,9,25,169,6,3/7,28.16,6.76,25.00,0,0
Washington Sundar,3,3,9,74,4,3/16,18.50,8.22,13.50,0,0
Dale Steyn,2,2,8,69,4,3/11,17.25,8.62,12.00,0,0
Pawan Negi,7,4,11,102,3,4/18,34.00,9.13,22.33,0,0
Marcus Stoinis,10,6,16,145,2,4/15,72.50,8.70,50.00,0,0
Kulwant Khejroliya,2,2,5,47,1,2/33,47.00,9.40,30.00,0,0
Tim Southee,3,3,9,118,1,3/24,118.00,13.11,54.00,0,0
