player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Faf du Plessis,13,13,2,449,87*,40.81,319,140.75,0,4,42,14
Ambati Rayudu,12,11,2,359,71,39.88,282,127.30,0,1,30,12
Shane Watson,11,11,1,299,83*,29.90,247,121.05,0,2,33,13
Ravindra Jadeja,14,11,6,232,50,46.40,135,171.85,0,1,22,11
Ruturaj Gaikwad,6,6,2,204,72,51.00,169,120.71,0,3,16,6
MS Dhoni,14,12,4,200,47*,25.00,172,116.27,0,0,16,7
Sam Curran,14,11,3,186,52,23.25,141,131.91,0,1,12,12
Kedar Jadhav,8,5,2,62,26,20.66,66,93.93,0,0,7,0
Narayan Jagadeesan,5,2,0,33,33,16.50,29,113.79,0,0,4,0
Murali Vijay,3,3,0,32,21,10.66,43,74.41,0,0,4,0
Imran Tahir,3,1,1,13,13*,0.00,10,130.00,0,0,2,0
Shardul Thakur,9,2,1,12,11,12.00,21,57.14,0,0,0,0
Dwayne Bravo,6,2,0,7,7,3.50,6,116.66,0,0,0,0
Deepak Chahar,14,3,2,7,5*,7.00,12,58.33,0,0,0,0
