player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Ishan Kishan,14,13,4,516,99,57.33,354,145.76,0,4,36,30
Quinton de Kock,16,16,2,503,78*,35.92,358,140.50,0,4,46,22
Suryakumar Yadav,16,15,3,480,79*,40.00,331,145.01,0,4,61,11
Rohit Sharma,12,12,0,332,80,27.66,260,127.69,0,3,27,19
Hardik Pandya,14,13,5,281,60*,35.12,157,178.98,0,1,14,25
Kieron Pollard,16,12,7,268,60*,53.60,140,191.42,0,1,15,22
Krunal Pandya,16,12,6,109,34,18.16,92,118.47,0,0,9,5
Saurabh Tiwary,7,5,0,103,42,20.60,80,128.75,0,0,8,3
Nathan Coulter-Nile,7,2,1,25,24*,25.00,15,166.66,0,0,4,0
James Pattinson,10,2,1,15,11,15.00,13,115.38,0,0,2,0
Jasprit Bumrah,15,1,1,5,5*,0.00,3,166.66,0,0,0,0
Dhawal Kulkarni,1,1,1,3,3*,0.00,2,150.00,0,0,0,0
Rahul Chahar,15,1,1,2,2*,0.00,4,50.00,0,0,0,0
Trent Boult,15,1,0,0,0*,0.00,1,0.00,0,0,0,0
