player_id,player_name,player_role
PBKS100,KL RAHUL,WK Keeper - Batter
PBKS101,MANDEEP SINGH,Batter
PBKS102,SARFARAZ KHAN,Batter
PBKS103,MAYANK AGARWAL,Batter
PBKS104,NICHOLAS POORAN,Batter
PBKS105,PRABHSIMRAN SINGH,Batter
PBKS106,JIMMY NEESHAM,All-Rounder
PBKS107,TAJINDER SINGH,All-Rounder
PBKS108,KARUN NAIR,All-Rounder
PBKS109,DEEPAK HOODA,All-Rounder
PBKS110,GLENN MAXWELL,All-Rounder
PBKS111,DARSHAN NALKANDE,All-Rounder
PBKS112,CHRIS GAYLE,All-Rounder
PBKS113,KRISHNAPPA GOWTHAM,All-Rounder
PBKS114,HARPREET BRAR,Bowler
PBKS115,ISHAN POREL,Bowler
PBKS116,CHRIS JORDAN,Bowler
PBKS117,RAVI BISHNOI,Bowler
PBKS118,ARSHDEEP SINGH,Bowler
PBKS119,MUJEEB UR RAHMAN,Bowler
PBKS120,SHELDON COTTRELL,Bowler
PBKS121,MOHAMMAD SHAMI,Bowler
PBKS122,MURUGAN ASHWIN,Bowler
PBKS123,JAGADEESHA SUCHITH,Bowler
PBKS124,HARDUS VILJOEN,Bowler
