player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
David Warner,16,16,2,548,85*,39.14,407,134.64,0,4,52,14
Manish Pandey,16,15,2,425,83*,32.69,333,127.62,0,3,35,18
Jonny Bairstow,11,11,0,345,97,31.36,272,126.83,0,3,31,13
Kane Williamson,12,11,4,317,67,45.28,237,133.75,0,3,26,10
Wriddhiman Saha,4,4,1,214,87,71.33,153,139.86,0,2,24,5
Priyam Garg,14,10,1,133,51*,14.77,111,119.81,0,1,9,4
Abdul Samad,12,8,3,111,33,22.20,65,170.76,0,0,8,6
Vijay Shankar,7,5,1,97,52*,24.25,96,101.04,0,1,10,1
Abhishek Sharma,8,7,2,71,31,14.20,56,126.78,0,0,6,3
Jason Holder,7,4,2,66,26*,33.00,53,124.52,0,0,5,3
Rashid Khan,16,7,3,35,14,8.75,30,116.66,0,0,3,2
Sandeep Sharma,13,5,3,12,9,6.00,15,80.00,0,0,1,0
Mohammad Nabi,1,1,1,11,11*,0.00,8,137.50,0,0,2,0
Shahbaz Nadeem,7,2,1,7,5,7.00,8,87.50,0,0,1,0
T Natarajan,16,3,3,3,3*,0.00,5,60.00,0,0,0,0
Mitchell Marsh,1,1,0,0,0*,0.00,1,0.00,0,0,0,0
Shreevats Goswami,2,2,0,0,0*,0.00,4,0.00,0,0,0,0
Bhuvneshwar Kumar,4,1,0,0,0*,0.00,2,0.00,0,0,0,0
Khaleel Ahmed,7,1,0,0,0*,0.00,2,0.00,0,0,0,0
