player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Shikhar Dhawan,16,16,1,587,92,39.13,471,124.62,0,3,63,16
Prithvi Shaw,15,15,0,479,82,31.93,301,159.13,0,4,56,18
Rishabh Pant,16,16,4,419,58*,34.91,326,128.52,0,3,42,10
Shimron Hetmyer,14,13,6,242,53*,34.57,144,168.05,0,1,19,12
Shreyas Iyer,8,8,3,175,47*,35.00,171,102.33,0,0,7,5
Steve Smith,8,7,1,152,39,25.33,135,112.59,0,0,13,2
Marcus Stoinis,10,7,3,89,27*,22.25,72,123.61,0,0,11,1
Lalit Yadav,7,5,3,68,22*,34.00,73,93.15,0,0,7,0
Ravichandran Ashwin,13,5,2,44,20*,14.66,42,104.76,0,0,2,1
Axar Patel,12,6,1,40,12,8.00,46,86.95,0,0,2,1
Ripal Patel,2,2,1,25,18,25.00,27,92.59,0,0,3,0
Tom Curran,3,2,1,21,21,21.00,17,123.52,0,0,2,0
Chris Woakes,3,1,1,15,15*,0.00,11,136.36,0,0,2,0
Kagiso Rabada,15,3,2,13,9*,13.00,6,216.66,0,0,2,0
Ajinkya Rahane,2,1,0,8,8,8.00,8,100.00,0,0,1,0
Avesh Khan,16,1,1,5,5*,0.00,3,166.66,0,0,1,0
