player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Jasprit Bumrah,14,14,55,410,21,4/14,19.52,7.45,15.71,0,0
Trent Boult,14,14,51,406,13,4/18,31.23,7.90,23.69,0,0
Rahul Chahar,11,11,43,318,13,4/27,24.46,7.39,19.84,1,0
Nathan Coulter-Nile,5,5,20,127,7,4/14,18.14,6.35,17.14,1,0
Krunal Pandya,13,12,33,265,5,3/14,53.00,7.98,39.80,0,0
Jimmy Neesham,3,3,9,66,5,3/12,13.20,7.33,10.80,0,0
Kieron Pollard,14,9,13,95,5,4/44,19.00,7.21,15.80,0,0
Adam Milne,4,4,14,131,3,2/21,43.66,9.35,28.00,0,0
Jayant Yadav,5,5,17,130,2,1/23,65.00,7.64,51.00,0,0
Marco Jansen,2,2,6,45,2,2/28,22.50,7.50,18.00,0,0
Piyush Chawla,1,1,4,38,1,4/17,38.00,9.50,24.00,0,0
