player_id,player_name,player_role
MI100,ROHIT SHARMA,Batter
MI101,QUINTON DE KOCK,WK Keeper - Batter
MI102,ISHAN KISHAN,Batter
MI103,ANMOLPREET SINGH,Batter
MI104,ADITYA TARE,Batter
MI105,SAURABH TIWARY,Batter
MI106,SURYAKUMAR YADAV,Batter
MI107,CHRIS LYNN,Batter
MI108,ROOSH KALARIA,All-Rounder
MI109,ARJUN TENDULKAR,All-Rounder
MI110,JIMMY NEESHAM,All-Rounder
MI111,KIERON POLLARD,All-Rounder
MI112,YUDHVIR SINGH,All-Rounder
MI113,MARCO JANSEN,All-Rounder
MI114,KRUNAL PANDYA,All-Rounder
MI115,HARDIK PANDYA,All-Rounder
MI116,ANUKUL ROY,All-Rounder
MI117,NATHAN COULTER-NILE,Bowler
MI118,TRENT BOULT,Bowler
MI119,JAYANT YADAV,Bowler
MI120,PIYUSH CHAWLA,Bowler
MI121,MOHSIN KHAN,Bowler
MI122,JASPRIT BUMRAH,Bowler
MI123,DHAWAL KULKARNI,Bowler
MI124,SIMARJEET SINGH,Bowler
MI125,ADAM MILNE,Bowler
MI126,RAHUL CHAHAR,Bowler
