player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Mohammad Shami,14,14,52,395,19,3/15,20.78,7.50,16.63,0,0
Arshdeep Singh,12,12,41,342,18,5/32,19.00,8.27,13.77,0,1
Ravi Bishnoi,9,9,35,222,12,3/24,18.50,6.34,17.50,0,0
Harpreet Brar,7,7,23,139,5,3/19,27.80,6.04,27.60,0,0
Chris Jordan,4,4,12,96,4,4/11,24.00,8.00,18.00,0,0
Moises Henriques,5,5,10,45,4,3/12,11.25,4.50,15.00,0,0
Riley Meredith,5,5,17,169,4,1/29,42.25,9.94,25.50,0,0
Jhye Richardson,3,3,11,117,3,2/41,39.00,10.63,22.00,0,0
Deepak Hooda,12,7,16,136,2,2/16,68.00,8.50,48.00,0,0
Fabian Allen,4,3,11,90,1,1/22,90.00,8.18,66.00,0,0
Ishan Porel,1,1,4,39,1,1/39,39.00,9.75,24.00,0,0
Murugan Ashwin,3,3,11,97,1,3/21,97.00,8.81,66.00,0,0
Nathan Ellis,3,3,12,98,1,1/20,98.00,8.16,72.00,0,0
