player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Rashid Khan,14,14,56,375,18,3/19,20.83,6.69,18.66,0,0
Jason Holder,8,8,32,247,16,4/52,15.43,7.75,11.93,1,0
Siddarth Kaul,8,8,30,247,7,4/29,35.28,8.23,25.71,0,0
Bhuvneshwar Kumar,11,11,42,335,6,5/19,55.83,7.97,42.00,0,0
Khaleel Ahmed,7,7,27,219,5,3/21,43.80,8.11,32.40,0,0
Abhishek Sharma,8,6,10,64,4,2/4,16.00,6.40,15.00,0,0
Sandeep Sharma,7,7,23,203,3,4/20,67.66,8.63,47.00,0,0
Vijay Shankar,7,5,11,100,3,2/19,33.33,9.09,22.00,0,0
T Natarajan,2,2,8,69,2,2/24,34.50,8.62,24.00,0,0
Umran Malik,3,3,12,96,2,1/21,48.00,8.00,36.00,0,0
Mohammad Nabi,3,3,8,86,2,4/11,43.00,10.75,24.00,0,0
Mujeeb Ur Rahman,1,1,4,29,2,3/27,14.50,7.25,12.00,0,0
Shahbaz Nadeem,1,1,4,36,1,3/16,36.00,9.00,24.00,0,0
