player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Dwayne Bravo,10,10,34.2,299,16,20/3,18.68,8.70,12.87,0,0
Mukesh Choudhary,13,13,45.3,424,16,46/4,26.50,9.31,17.06,1,0
Maheesh Theekshana,9,9,35.0,261,12,33/4,21.75,7.45,17.50,1,0
Moeen Ali,10,10,23.5,158,8,13/3,19.75,6.62,17.87,0,0
Dwaine Pretorius,6,6,21.0,210,6,30/2,35.00,10.00,21.00,0,0
Ravindra Jadeja,10,10,33.0,248,5,39/3,49.60,7.51,39.60,0,0
Mitchell Santner,6,6,19.0,130,4,15/1,32.50,6.84,28.50,0,0
Simarjeet Singh,6,6,18.0,138,4,27/2,34.50,7.66,27.00,0,0
Prashant Solanki,2,2,6.0,38,2,20/2,19.00,6.33,18.00,0,0
Matheesha Pathirana,2,2,6.5,52,2,24/2,26.00,7.60,20.50,0,0
Chris Jordan,4,4,12.5,135,2,23/2,67.50,10.51,38.50,0,0
Tushar Deshpande,2,2,7.0,63,1,40/1,63.00,9.00,42.00,0,0
