player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Hardik Pandya,15,15,4,487,87*,44.27,371,131.26,0,4,49,12
Shubman Gill,16,16,2,483,96,34.50,365,132.32,0,4,51,11
David Miller,16,16,9,481,94*,68.71,337,142.72,0,2,32,23
Wriddhiman Saha,11,11,1,317,68,31.70,259,122.39,0,3,40,7
Rahul Tewatia,16,12,5,217,43*,31.00,147,147.61,0,0,22,9
Matthew Wade,10,10,0,157,35,15.70,138,113.76,0,0,23,2
Sai Sudharsan,5,5,1,145,65*,36.25,114,127.19,0,1,14,3
Abhinav Manohar,8,7,1,108,43,18.00,75,144.00,0,0,14,3
Rashid Khan,16,8,4,91,40,22.75,44,206.81,0,0,3,9
Vijay Shankar,4,4,0,19,13,4.75,35,54.28,0,0,1,0
Lockie Ferguson,13,3,1,5,5,2.50,4,125.00,0,0,1,0
Alzarri Joseph,9,3,2,5,4*,5.00,7,71.42,0,0,0,0
Pradeep Sangwan,3,1,0,2,2,2.00,5,40.00,0,0,0,0
