player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Mohammad Shami,16,16,61.0,488,20,25/3,24.40,8.00,18.30,0,0
Rashid Khan,16,16,63.5,421,19,24/4,22.15,6.59,20.15,1,0
Lockie Ferguson,13,13,47.4,427,12,28/4,35.58,8.95,23.83,1,0
Yash Dayal,9,9,32.0,296,11,40/3,26.90,9.25,17.45,0,0
Hardik Pandya,15,10,30.3,222,8,17/3,27.75,7.27,22.87,0,0
Alzarri Joseph,9,9,30.0,264,7,34/2,37.71,8.80,25.71,0,0
Sai Kishore,5,5,16.0,121,6,7/2,20.16,7.56,16.00,0,0
Pradeep Sangwan,3,3,9.0,65,3,19/2,21.66,7.22,18.00,0,0
Varun Aaron,2,2,5.0,52,2,45/2,26.00,10.40,15.00,0,0
Darshan Nalkande,2,2,5.1,59,2,37/2,29.50,11.41,15.50,0,0
