player_id,player_name,player_role
GT100,DAVID MILLER,Batter
GT101,RAHMANULLAH GURBAZ,Batter
GT102,SHUBMAN GILL,Batter
GT103,MATTHEW WADE,Batter
GT104,WRIDDHIMAN SAHA,WK Keeper - Batter
GT105,GURKEERAT MANN SINGH,Batter
GT106,HARDIK PANDYA,All-Rounder
GT107,ABHINAV MANOHAR,All-Rounder
GT108,B. SAI SUDHARSAN,All-Rounder
GT109,DARSHAN NALKANDE,All-Rounder
GT110,VIJAY SHANKAR,All-Rounder
GT111,DOMINIC DRAKES,Bowler
GT112,JAYANT YADAV,Bowler
GT113,PRADEEP SANGWAN,Bowler
GT114,RAHUL TEWATIA,Bowler
GT115,ALZARRI JOSEPH,Bowler
GT116,LOCKIE FERGUSON,Bowler
GT117,MOHAMMAD SHAMI,Bowler
GT118,NOOR AHMAD,Bowler
GT119,SAI KISHORE,Bowler
GT120,RASHID KHAN,Bowler
GT121,VARUN AARON,Bowler
GT122,YASH DAYAL,Bowler
