player_id,player_name,player_role
KKR100,SHREYAS IYER,Batter
KKR101,AJINKYA RAHANE,Batter
KKR102,RINKU SINGH,Batter
KKR103,AARON FINCH,Batter
KKR104,ABHIJEET TOMAR,Batter
KKR105,PRATHAM SINGH,Batter
KKR106,SAM BILLINGS,WK Keeper - Batter
KKR107,SHELDON JACKSON,Batter
KKR108,BABA INDRAJITH,Batter
KKR109,NITISH RANA,Batter
KKR110,AMAN KHAN,Batter
KKR111,RAMESH KUMAR,All-Rounder
KKR112,MOHAMMAD NABI,All-Rounder
KKR113,ANUKUL ROY,All-Rounder
KKR114,CHAMIKA KARUNARATNE,All-Rounder
KKR115,ANDRE RUSSELL,All-Rounder
KKR116,VENKATESH IYER,All-Rounder
KKR117,PAT CUMMINS,Bowler
KKR118,SHIVAM MAVI,Bowler
KKR119,UMESH YADAV,Bowler
KKR120,HARSHIT RANA,Bowler
KKR121,TIM SOUTHEE,Bowler
KKR122,ASHOK SHARMA,Bowler
KKR123,SUNIL NARINE,Bowler
KKR124,VARUN CHAKARAVARTHY,Bowler
KKR125,RASIKH DAR,Bowler
