player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
K L Rahul,15,15,3,616,103*,51.33,455,135.38,2,4,45,30
Quinton De Kock,15,15,1,508,140*,36.29,341,148.97,1,3,47,23
Deepak Hooda,15,14,0,451,59,32.21,330,136.66,0,4,36,18
Krunal Pandya,14,13,4,183,42,20.33,145,126.20,0,0,16,4
Ayush Badoni,13,11,3,161,54,20.13,130,123.84,0,1,11,7
Marcus Stoinis,11,10,2,156,38*,19.50,106,147.16,0,0,7,13
Manish Pandey,6,6,0,88,38,14.67,80,110.00,0,0,9,2
Evin Lewis,6,5,2,73,55*,24.33,56,130.35,0,1,8,3
Jason Holder,12,8,2,58,16,9.67,44,131.81,0,0,2,6
Dushmantha Chameera,12,8,4,43,17,10.75,28,153.57,0,0,3,3
Mohsin Khan,9,3,2,23,13*,23.00,16,143.75,0,0,2,1
Avesh Khan,13,4,3,22,12,22.00,13,169.23,0,0,0,3
Manan Vohra,2,1,0,19,19,19.00,11,172.72,0,0,1,2
Karan Sharma,1,1,0,4,4,4.00,4,100.00,0,0,1,0
