player_name,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Avesh Khan,13,13,47.4,416,18,24/4,23.11,8.72,15.88,1,0
Mohsin Khan,9,9,33.0,197,14,16/4,14.07,5.96,14.14,1,0
Jason Holder,12,12,41.3,391,14,31/3,27.92,9.42,17.78,0,0
Ravi Bishnoi,14,14,54.0,456,13,22/2,35.07,8.44,24.92,0,0
Krunal Pandya,14,12,38.0,265,10,19/3,26.50,6.97,22.80,0,0
Dushmantha Chameera,12,12,44.0,384,9,17/2,42.66,8.72,29.33,0,0
Krishnappa Gowtham,4,4,12.0,99,5,30/2,19.80,8.25,14.40,0,0
Marcus Stoinis,11,5,7.0,79,4,23/3,19.75,11.28,10.50,0,0
Ayush Badoni,13,2,2.0,11,2,5/1,5.50,5.50,6.00,0,0
Andrew Tye,3,3,11.0,107,2,40/2,53.50,9.72,33.00,0,0
Deepak Hooda,15,2,4.0,43,1,31/1,43.00,10.75,24.00,0,0
