player_id,player_name,player_role
LSG100,KL RAHUL,Batter
LSG101,EVIN LEWIS,Batter
LSG102,MANAN VOHRA,Batter
LSG103,MANISH PANDEY,Batter
LSG104,QUINTON DE KOCK,WK Keeper - Batter
LSG105,AYUSH BADONI,All-Rounder
LSG106,DEEPAK HOODA,All-Rounder
LSG107,JASON HOLDER,All-Rounder
LSG108,KRISHNAPPA GOWTHAM,All-Rounder
LSG109,KARAN SHARMA,All-Rounder
LSG110,KRUNAL PANDYA,All-Rounder
LSG111,KYLE MAYERS,All-Rounder
LSG112,MARCUS STOINIS,All-Rounder
LSG113,ANKIT RAJPOOT,Bowler
LSG114,AVESH KHAN,Bowler
LSG115,DUSHMANTHA CHAMEERA,Bowler
LSG116,ANDREW TYE,Bowler
LSG117,MAYANK YADAV,Bowler
LSG118,MOHSIN KHAN,Bowler
LSG119,RAVI BISHNOI,Bowler
LSG120,SHAHBAZ NADEEM,Bowler
