player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Shikhar Dhawan,14,14,2,460,88*,38.33,375,122.66,0,3,47,12
Liam Livingstone,14,14,2,437,70,36.42,240,182.08,0,4,29,34
Jonny Bairstow,11,11,0,253,66,23.00,175,144.57,0,2,34,9
Jitesh Sharma,12,10,2,234,44,29.25,143,163.63,0,0,22,12
Bhanuka Rajapaksa,9,9,0,206,43,22.89,129,159.68,0,0,16,13
Mayank Agarwal,13,12,0,196,52,16.33,160,122.50,0,1,23,6
Shahrukh Khan,8,8,1,117,26,16.71,108,108.33,0,0,4,9
Rahul Chahar,13,8,2,77,25*,12.83,68,113.23,0,0,7,4
Odean Smith,6,6,3,51,25*,17.00,44,115.90,0,0,1,5
Kagiso Rabada,13,8,3,48,25,9.60,43,111.62,0,0,5,2
Rishi Dhawan,6,4,2,37,21*,18.50,40,92.50,0,0,4,2
Harpreet Brar,5,3,0,22,14,7.33,25,88.00,0,0,1,2
Arshdeep Singh,14,6,3,21,10*,7.00,29,72.41,0,0,3,0
Simran Singh,1,1,0,14,14,14.00,11,127.27,0,0,2,0
Rajangad Bawa,2,2,0,11,11,5.50,14,78.57,0,0,1,0
Vaibhav Arora,5,4,2,5,2*,2.50,13,38.46,0,0,0,0
Prerak Mankad,1,1,1,4,4*,0,1,400.00,0,0,1,0
