player_id,player_name,player_role
RCB100,FAF DU PLESSIS,Batter
RCB101,FINN ALLEN,Batter
RCB102,RAJAT PATIDAR,Batter
RCB103,VIRAT KOHLI,Batter
RCB104,ANUJ RAWAT,Batter
RCB105,DINESH KARTHIK,WK Keeper - Batter
RCB106,LUVNITH SISODIA,Batter
RCB107,SHERFANE RUTHERFORD,Batter
RCB108,SUYASH S PRABHUDESSAI,Batter
RCB109,DAVID WILLEY,All-Rounder
RCB110,GLENN MAXWELL,All-Rounder
RCB111,MAHIPAL LOMROR,All-Rounder
RCB112,WANINDU HASARANGA,All-Rounder
RCB113,KARN SHARMA,All-Rounder
RCB114,ANEESHWAR GAUTAM,All-Rounder
RCB115,HARSHAL PATEL,Bowler
RCB116,SHAHBAZ AHAMAD,Bowler
RCB117,AKASH DEEP,Bowler
RCB118,CHAMA MILIND,Bowler
RCB119,JASON BEHRENDORFF,Bowler
RCB120,JOSH HAZLEWOOD,Bowler
RCB121,SIDDHARTH KAUL,Bowler
RCB122,MOHAMMED SIRAJ,Bowler
