player_id,player_name,player_role
DC100,RISHABH PANT,WK Keeper - Batter
DC101,DAVID WARNER,Batter
DC102,PRITHVI SHAW,Batter
DC103,ROVMAN POWELL,Batter
DC104,RIPAL PATEL,Batter
DC105,SARFARAZ KHAN,Batter
DC106,YASH DHULL,Batter
DC107,AMAN KHAN,Batter
DC108,PHIL SALT,Batter
DC109,MANISH PANDEY,Batter
DC110,RILEE ROSSOUW,Batter
DC111,ABISHEK POREL,Batter
DC112,AXAR PATEL,All-Rounder
DC113,LALIT YADAV,All-Rounder
DC114,MITCHELL MARSH,All-Rounder
DC115,KAMLESH NAGARKOTI,Bowler
DC116,PRAVIN DUBEY,Bowler
DC117,VICKY OSTWAL,Bowler
DC118,ANRICH NORTJE,Bowler
DC119,CHETAN SAKARIYA,Bowler
DC120,KULDEEP YADAV,Bowler
DC121,LUNGI NGIDI,Bowler
DC122,MUSTAFIZUR RAHMAN,Bowler
DC123,KHALEEL AHMED,Bowler
DC124,ISHANT SHARMA,Bowler
DC125,MUKESH KUMAR,Bowler
