player_id,player_name,player_role
GT100,DAVID MILLER,Batter
GT101,SHUBMAN GILL,Batter
GT102,MATTHEW WADE,Batter
GT103,WRIDDHIMAN SAHA,WK Keeper - Batter
GT104,KANE WILLIAMSON,Batter
GT105,URVIL PATEL,Batter
GT106,K.S BHARAT,Batter
GT107,HARDIK PANDYA,All-Rounder
GT108,ABHINAV MANOHAR,All-Rounder
GT109,B. SAI SUDHARSAN,All-Rounder
GT110,DARSHAN NALKANDE,All-Rounder
GT111,VIJAY SHANKAR,All-Rounder
GT112,ODEAN SMITH,All-Rounder
GT113,DASUN SHANAKA,All-Rounder
GT114,JAYANT YADAV,Bowler
GT115,PRADEEP SANGWAN,Bowler
GT116,RAHUL TEWATIA,Bowler
GT117,SHIVAM MAVI,Bowler
GT118,ALZARRI JOSEPH,Bowler
GT119,MOHAMMAD SHAMI,Bowler
GT120,NOOR AHMAD,Bowler
GT121,SAI KISHORE,Bowler
GT122,RASHID KHAN,Bowler
GT123,YASH DAYAL,Bowler
GT124,JOSHUA LITTLE,Bowler
GT125,MOHIT SHARMA,Bowler
