player_id,player_name,player_role
KKR100,NITISH RANA,Batter
KKR101,RINKU SINGH,Batter
KKR102,RAHMANULLAH GURBAZ,Batter
KKR103,SHREYAS IYER,Batter
KKR104,NARAYAN JAGADEESAN,Batter
KKR105,LITTON DAS,Batter
KKR106,MANDEEP SINGH,Batter
KKR107,JASON ROY,Batter
KKR108,DAVID WIESE,All-Rounder
KKR109,ANUKUL ROY,All-Rounder
KKR110,ANDRE RUSSELL,All-Rounder
KKR111,VENKATESH IYER,All-Rounder
KKR112,SHAKIB AL HASAN,All-Rounder
KKR113,KULWANT KHEJROLIYA,Bowler
KKR114,SUYASH SHARMA,Bowler
KKR115,LOCKIE FERGUSON,Bowler
KKR116,UMESH YADAV,Bowler
KKR117,HARSHIT RANA,Bowler
KKR118,TIM SOUTHEE,Bowler
KKR119,SHARDUL THAKUR,Bowler
KKR120,SUNIL NARINE,Bowler
KKR121,VAIBHAV ARORA,Bowler
KKR122,VARUN CHAKARAVARTHY,Bowler
