player_id,player_name,player_role
LSG100,KL RAHUL,Batter
LSG101,MANAN VOHRA,Batter
LSG102,QUINTON DE KOCK,WK Keeper - Batter
LSG103,NICHOLAS POORAN,Batter
LSG104,AYUSH BADONI,All-Rounder
LSG105,DEEPAK HOODA,All-Rounder
LSG106,KRISHNAPPA GOWTHAM,All-Rounder
LSG107,KARAN SHARMA,All-Rounder
LSG108,KRUNAL PANDYA,All-Rounder
LSG109,KYLE MAYERS,All-Rounder
LSG110,MARCUS STOINIS,All-Rounder
LSG111,ROMARIO SHEPHERD,All-Rounder
LSG112,DANIEL SAMS,All-Rounder
LSG113,PRERAK MANKAD,All-Rounder
LSG114,SWAPNIL SINGH,All-Rounder
LSG115,YUDHVIR SINGH,All-Rounder
LSG116,AVESH KHAN,Bowler
LSG117,MARK WOOD,Bowler
LSG118,MAYANK YADAV,Bowler
LSG119,MOHSIN KHAN,Bowler
LSG120,RAVI BISHNOI,Bowler
LSG121,JAYDEV UNADKAT,Bowler
LSG122,YASH THAKUR,Bowler
LSG123,AMIT MISHRA,Bowler
LSG124,NAVEEN UL HAQ,Bowler
