player_id,player_name,player_role
MI100,ROHIT SHARMA,Batter
MI101,DEWALD BREVIS,Batter
MI102,SURYAKUMAR YADAV,Batter
MI103,ISHAN KISHAN,WK Keeper - Batter
MI104,N. TILAK VARMA,Batter
MI105,RAMANDEEP SINGH,Batter
MI106,TIM DAVID,Batter
MI107,TRISTAN STUBBS,Batter
MI108,VISHNU VINOD,Batter
MI109,ARJUN TENDULKAR,All-Rounder
MI110,JOFRA ARCHER,All-Rounder
MI111,MOHD. ARSHAD KHAN,All-Rounder
MI112,CAMERON GREEN,All-Rounder
MI113,SHAMS MULANI,All-Rounder
MI114,NEHAL WADHERA,All-Rounder
MI115,DUAN JANSEN,All-Rounder
MI116,HRITHIK SHOKEEN,Bowler
MI117,JASPRIT BUMRAH,Bowler
MI118,RILEY MEREDITH,Bowler
MI119,JHYE RICHARDSON,Bowler
MI120,KUMAR KARTIKEYA SINGH,Bowler
MI121,PIYUSH CHAWLA,Bowler
MI122,SANDEEP WARRIER,Bowler
MI123,AKASH MADHWAL,Bowler
MI124,JASON BEHRENDORFF,Bowler
MI125,RAGHAV GOYAL,Bowler
