player_id,player_name,player_role
PBKS100,SHIKHAR DHAWAN,Batter
PBKS101,BHANUKA RAJAPAKSA,Batter
PBKS102,JITESH SHARMA,WK Keeper - Batter
PBKS103,JONNY BAIRSTOW,Batter
PBKS104,PRABHSIMRAN SINGH,Batter
PBKS105,LIAM LIVINGSTONE,Batter
PBKS106,SHAHRUKH KHAN,Batter
PBKS107,MATTHEW WILLIAM SHORT,Batter
PBKS108,HARPREET BHATIA,Batter
PBKS109,ATHARVA TAIDE,All-Rounder
PBKS110,RAJ ANGAD BAWA,All-Rounder
PBKS111,RISHI DHAWAN,All-Rounder
PBKS112,SAM CURRAN,All-Rounder
PBKS113,SIKANDAR RAZA,All-Rounder
PBKS114,MOHIT RATHEE,All-Rounder
PBKS115,SHIVAM SINGH,All-Rounder
PBKS116,HARPREET BRAR,Bowler
PBKS117,ARSHDEEP SINGH,Bowler
PBKS118,BALTEJ DHANDA,Bowler
PBKS119,KAGISO RABADA,Bowler
PBKS120,NATHAN ELLIS,Bowler
PBKS121,RAHUL CHAHAR,Bowler
PBKS122,GURNOOR SINGH BRAR,Bowler
PBKS123,VIDWATH KAVERAPPA,Bowler
