player_id,player_name,player_role
RCB100,FAF DU PLESSIS,Batter
RCB101,FINN ALLEN,Batter
RCB102,RAJAT PATIDAR,Batter
RCB103,VIRAT KOHLI,Batter
RCB104,ANUJ RAWAT,Batter
RCB105,DINESH KARTHIK,WK Keeper - Batter
RCB106,SUYASH S PRABHUDESSAI,Batter
RCB107,WILL JACKS,Batter
RCB108,DAVID WILLEY,All-Rounder
RCB109,GLENN MAXWELL,All-Rounder
RCB110,MAHIPAL LOMROR,All-Rounder
RCB111,WANINDU HASARANGA,All-Rounder
RCB112,KARN SHARMA,All-Rounder
RCB113,MICHAEL BRACEWELL,All-Rounder
RCB114,SONU YADAV,All-Rounder
RCB115,MANOJ BHANDAGE,All-Rounder
RCB116,HARSHAL PATEL,Bowler
RCB117,SHAHBAZ AHAMAD,Bowler
RCB118,AKASH DEEP,Bowler
RCB119,JOSH HAZLEWOOD,Bowler
RCB120,SIDDHARTH KAUL,Bowler
RCB121,MOHAMMED SIRAJ,Bowler
RCB122,REECE TOPLEY,Bowler
RCB123,HIMANSHU SHARMA,Bowler
RCB124,RAJAN KUMAR,Bowler
RCB125,VYSHAK VIJAY KUMAR,Bowler
RCB126,WAYNE PARNELL,Bowler
RCB127,AVINASH SINGH,Bowler
