player_id,player_name,player_role
RR100,SANJU SAMSON,WK Keeper - Batter
RR101,DEVDUTT PADIKKAL,Batter
RR102,JOS BUTTLER,Batter
RR103,SHIMRON HETMYER,Batter
RR104,YASHASVI JAISWAL,Batter
RR105,DHRUV JUREL,Batter
RR106,RIYAN PARAG,Batter
RR107,KUNAL RATHORE,Batter
RR108,DONOVAN FERREIRA,Batter
RR109,JOE ROOT ,Batter
RR110,RAVICHANDRAN ASHWIN,All-Rounder
RR111,JASON HOLDER,All-Rounder
RR112,AKASH VASHISHT,All-Rounder
RR113,ABDUL P A,All-Rounder
RR114,KC CARIAPPA,Bowler
RR115,KULDEEP SEN,Bowler
RR116,KULDIP YADAV,Bowler
RR117,NAVDEEP SAINI,Bowler
RR118,OBED MCCOY,Bowler
RR119,KM ASIF,Bowler
RR120,PRASIDH KRISHNA,Bowler
RR121,SANDEEP SHARMA,Bowler
RR122,TRENT BOULT,Bowler
RR123,MURUGAN ASHWIN,Bowler
RR124,YUZVENDRA CHAHAL,Bowler
RR125,ADAM ZAMPA,Bowler
