player_id,player_name,player_role
SRH100,ABDUL SAMAD,Batter
SRH101,AIDEN MARKRAM,Batter
SRH102,RAHUL TRIPATHI,Batter
SRH103,GLENN PHILLIPS,Batter
SRH104,HARRY BROOK,Batter
SRH105,MAYANK AGARWAL,Batter
SRH106,HEINRICH KLAASEN,Batter
SRH107,ANMOLPREET SINGH,Batter
SRH108,UPENDRA SINGH YADAV,Batter
SRH109,NITISH KUMAR REDDY,Batter
SRH110,ABHISHEK SHARMA,All-Rounder
SRH111,MARCO JANSEN,All-Rounder
SRH112,WASHINGTON SUNDAR,All-Rounder
SRH113,VIVRANT SHARMA,All-Rounder
SRH114,MAYANK DAGAR,All-Rounder
SRH115,SAMARTH VYAS,All-Rounder
SRH116,SANVIR SINGH,All-Rounder
SRH117,BHUVNESHWAR KUMAR,Bowler
SRH118,FAZALHAQ FAROOQI,Bowler
SRH119,KARTIK TYAGI,Bowler
SRH120,T NATARAJAN,Bowler
SRH121,UMRAN MALIK,Bowler
SRH122,AKEAL HOSEIN,Bowler
SRH123,ADIL RASHID,Bowler
SRH124,MAYANK MARKANDE,Bowler
