player_id,player_name,player_role,points,credits
CSK100,"MS DHONI
","WK Keeper - Batter
"
CSK101,"DEVON CONWAY
","Batter
"
CSK102,"RUTURAJ GAIKWAD
","Batter
"
CSK103,"SUBHRANSHU SENAPATI
","Batter
"
CSK104,"AMBATI RAYUDU
","Batter
"
CSK105,"AJINKYA RAHANE
","Batter
"
CSK106,"SHAIK RASHEED
","Batter
"
CSK107,"RAVINDRA JADEJA
","All-Rounder
"
CSK108,"DWAINE PRETORIUS
","All-Rounder
"
CSK109,"MITCHELL SANTNER
","All-Rounder
"
CSK110,"K BHAGATH VARMA
","All-Rounder
"
CSK111,"MOEEN ALI
","All-Rounder
"
CSK112,"SHIVAM DUBE
","All-Rounder
"
CSK113,"BEN STOKES
","All-Rounder
"
CSK114,"NISHANT SINDHU
","All-Rounder
"
CSK115,"AJAY MANDAL
","All-Rounder
"
CSK116,"AKASH SINGH
","Bowler
"
CSK117,"RAJVARDHAN HANGARGEKAR
","Bowler
"
CSK118,"DEEPAK CHAHAR
","Bowler
"
CSK119,"MAHEESH THEEKSHANA
","Bowler
"
CSK120,"MUKESH CHOUDHARY
","Bowler
"
CSK121,"PRASHANT SOLANKI
","Bowler
"
CSK122,"SIMARJEET SINGH
","Bowler
"
CSK123,"TUSHAR DESHPANDE
","Bowler
"
CSK124,"MATHEESHA PATHIRANA
","Bowler
"
CSK125,"SISANDA MAGALA
","Bowler
"
CSK126,"KYLE JAMIESON
","Bowler
"
DC100,"RISHABH PANT
","WK Keeper - Batter
"
DC101,"DAVID WARNER
","Batter
"
DC102,"PRITHVI SHAW
","Batter
"
DC103,"ROVMAN POWELL
","Batter
"
DC104,"RIPAL PATEL
","Batter
"
DC105,"SARFARAZ KHAN
","Batter
"
DC106,"YASH DHULL
","Batter
"
DC107,"AMAN KHAN
","Batter
"
DC108,"PHIL SALT
","Batter
"
DC109,"MANISH PANDEY
","Batter
"
DC110,"RILEE ROSSOUW
","Batter
"
DC111,"ABISHEK POREL
","Batter
"
DC112,"AXAR PATEL
","All-Rounder
"
DC113,"LALIT YADAV
","All-Rounder
"
DC114,"MITCHELL MARSH
","All-Rounder
"
DC115,"KAMLESH NAGARKOTI
","Bowler
"
DC116,"PRAVIN DUBEY
","Bowler
"
DC117,"VICKY OSTWAL
","Bowler
"
DC118,"ANRICH NORTJE
","Bowler
"
DC119,"CHETAN SAKARIYA
","Bowler
"
DC120,"KULDEEP YADAV
","Bowler
"
DC121,"LUNGI NGIDI
","Bowler
"
DC122,"MUSTAFIZUR RAHMAN
","Bowler
"
DC123,"KHALEEL AHMED
","Bowler
"
DC124,"ISHANT SHARMA
","Bowler
"
DC125,"MUKESH KUMAR
","Bowler
"
GT100,"DAVID MILLER
","Batter
"
GT101,"SHUBMAN GILL
","Batter
"
GT102,"MATTHEW WADE
","Batter
"
GT103,"WRIDDHIMAN SAHA
","WK Keeper - Batter
"
GT104,"KANE WILLIAMSON
","Batter
"
GT105,"URVIL PATEL
","Batter
"
GT106,"K.S BHARAT
","Batter
"
GT107,"HARDIK PANDYA
","All-Rounder
"
GT108,"ABHINAV MANOHAR
","All-Rounder
"
GT109,"B. SAI SUDHARSAN
","All-Rounder
"
GT110,"DARSHAN NALKANDE
","All-Rounder
"
GT111,"VIJAY SHANKAR
","All-Rounder
"
GT112,"ODEAN SMITH
","All-Rounder
"
GT113,"DASUN SHANAKA
","All-Rounder
"
GT114,"JAYANT YADAV
","Bowler
"
GT115,"PRADEEP SANGWAN
","Bowler
"
GT116,"RAHUL TEWATIA
","Bowler
"
GT117,"SHIVAM MAVI
","Bowler
"
GT118,"ALZARRI JOSEPH
","Bowler
"
GT119,"MOHAMMAD SHAMI
","Bowler
"
GT120,"NOOR AHMAD
","Bowler
"
GT121,"SAI KISHORE
","Bowler
"
GT122,"RASHID KHAN
","Bowler
"
GT123,"YASH DAYAL
","Bowler
"
GT124,"JOSHUA LITTLE
","Bowler
"
GT125,"MOHIT SHARMA
","Bowler
"
KKR100,"NITISH RANA
","Batter
"
KKR101,"RINKU SINGH
","Batter
"
KKR102,"RAHMANULLAH GURBAZ
","Batter
"
KKR103,"SHREYAS IYER
","Batter
"
KKR104,"NARAYAN JAGADEESAN
","Batter
"
KKR105,"LITTON DAS
","Batter
"
KKR106,"MANDEEP SINGH
","Batter
"
KKR107,"JASON ROY
","Batter
"
KKR108,"DAVID WIESE
","All-Rounder
"
KKR109,"ANUKUL ROY
","All-Rounder
"
KKR110,"ANDRE RUSSELL
","All-Rounder
"
KKR111,"VENKATESH IYER
","All-Rounder
"
KKR112,"SHAKIB AL HASAN
","All-Rounder
"
KKR113,"KULWANT KHEJROLIYA
","Bowler
"
KKR114,"SUYASH SHARMA
","Bowler
"
KKR115,"LOCKIE FERGUSON
","Bowler
"
KKR116,"UMESH YADAV
","Bowler
"
KKR117,"HARSHIT RANA
","Bowler
"
KKR118,"TIM SOUTHEE
","Bowler
"
KKR119,"SHARDUL THAKUR
","Bowler
"
KKR120,"SUNIL NARINE
","Bowler
"
KKR121,"VAIBHAV ARORA
","Bowler
"
KKR122,"VARUN CHAKARAVARTHY
","Bowler
"
LSG100,"KL RAHUL
","Batter
"
LSG101,"MANAN VOHRA
","Batter
"
LSG102,"QUINTON DE KOCK
","WK Keeper - Batter
"
LSG103,"NICHOLAS POORAN
","Batter
"
LSG104,"AYUSH BADONI
","All-Rounder
"
LSG105,"DEEPAK HOODA
","All-Rounder
"
LSG106,"KRISHNAPPA GOWTHAM
","All-Rounder
"
LSG107,"KARAN SHARMA
","All-Rounder
"
LSG108,"KRUNAL PANDYA
","All-Rounder
"
LSG109,"KYLE MAYERS
","All-Rounder
"
LSG110,"MARCUS STOINIS
","All-Rounder
"
LSG111,"ROMARIO SHEPHERD
","All-Rounder
"
LSG112,"DANIEL SAMS
","All-Rounder
"
LSG113,"PRERAK MANKAD
","All-Rounder
"
LSG114,"SWAPNIL SINGH
","All-Rounder
"
LSG115,"YUDHVIR SINGH
","All-Rounder
"
LSG116,"AVESH KHAN
","Bowler
"
LSG117,"MARK WOOD
","Bowler
"
LSG118,"MAYANK YADAV
","Bowler
"
LSG119,"MOHSIN KHAN
","Bowler
"
LSG120,"RAVI BISHNOI
","Bowler
"
